,date,ad,ad_type,primed,browser_size,dist,Air Travel,Eyewear,Food and Drinks,Headphones,Men's Fashion,None of the above,None of these products,Soda,TV Shows,Women's Fashion,Do you use ad blocking software on your computer?,How relevant was the ad to you?,Do you generally find that ads are relevant to you?,How important is it to you that ads help you find products you are interested in?,Did the ad you saw help you find a product you are interested in?,Do you think this ad technology can reliably help you find products you are interested in?,Do you have a smart phone?,How often do you make purchases using your mobile phone?,How often do you make purchases using your computer?,What is your age?,What is your gender?,What type of environment do you most identify with?
5664902681198592,2017-02-13 19:47:34.03107 UTC,TV Shows,new,True,"1280,615",2123.0441322183256,True,False,True,False,False,False,False,False,True,False,No,3,3,2,1,4,Yes,Sometimes (every 2-3 months),Often (monthly),25-30 years old,Female,Urban
5670405876482048,2017-02-18 18:54:14.7526 UTC,Air Travel,old,True,"1280,726",3437.885727996178,True,False,False,False,False,False,False,False,False,False,Yes,3,3,3,3,3,Yes,Sometimes (every 2-3 months),Often (monthly),18-24 years old,Female,Urban
5672749318012928,2017-02-13 02:47:17.31108 UTC,TV Shows,old,False,"375,559",0.0,False,False,True,False,False,False,False,False,True,False,No,2,3,2,1,1,Yes,Very often (weekly),Sometimes (every 2-3 months),25-30 years old,Male,Urban
5675267779461120,2017-02-15 17:18:53.83361 UTC,TV Shows,new,False,"1680,895",2761.400762364623,True,False,True,False,False,False,False,False,True,False,Yes,1,1,1,1,4,Yes,Often (monthly),Sometimes (every 2-3 months),31-40 years old,Female,Rural
5676073085829120,2017-02-13 02:41:41.15739 UTC,Food and Drinks,new,False,"919,970",1776.964965848293,False,False,True,False,False,False,False,False,False,False,No,2,2,1,1,1,Yes,Often (monthly),Rarely (less than twice a year),31-40 years old,Female,Rural
5681034041491456,2017-02-18 05:35:17.62692 UTC,TV Shows,new,True,"1600,822",2489.096406577466,False,False,False,False,False,False,False,False,True,False,Yes,1,1,5,1,1,Yes,Very often (weekly),Very often (weekly),31-40 years old,Female,Urban
5682617542246400,2017-02-13 02:40:09.23595 UTC,Air Travel,new,False,"1366,638",1767.66231389834,True,False,True,False,False,False,False,False,True,False,No,3,2,5,1,3,Yes,Very often (weekly),Very often (weekly),31-40 years old,Female,Rural
5688424874901504,2017-02-18 16:53:43.79555 UTC,TV Shows,old,True,"1920,946",4111.472846257547,False,False,False,False,False,False,False,False,True,False,Yes,1,1,1,1,1,Yes,Often (monthly),Very often (weekly),40+ years old,Male,Urban
5691726094139392,2017-02-16 15:11:49.85403 UTC,TV Shows,new,False,"856,651",2552.1107172150637,True,False,True,False,False,False,False,False,True,False,Yes,2,2,3,3,3,Yes,Rarely (less than twice a year),Often (monthly),18-24 years old,Female,Rural
5692462144159744,2017-02-13 03:38:10.41522 UTC,TV Shows,new,True,"1366,662",940.8717489218498,False,False,True,False,False,False,False,False,True,False,Yes,4,3,2,2,4,Yes,Sometimes (every 2-3 months),Sometimes (every 2-3 months),31-40 years old,Male,Urban
5695159920492544,2017-02-18 08:19:16.45123 UTC,Food and Drinks,new,False,"1600,794",1441.7049208722065,False,False,True,False,False,False,False,False,True,False,Yes,3,4,3,3,4,Yes,Often (monthly),Very often (weekly),31-40 years old,Female,Rural
5697423099822080,2017-02-13 03:28:09.79284 UTC,TV Shows,new,False,"1536,735",2021.9647077269724,False,False,True,False,False,False,False,False,True,False,Yes,1,1,1,1,1,Yes,Never,Sometimes (every 2-3 months),40+ years old,Female,Urban
5701241594183680,2017-02-18 22:16:07.63973 UTC,Air Travel,old,False,"1920,943",997.4479635625182,True,False,True,False,False,False,False,False,False,False,Yes,3,3,1,2,3,Yes,Sometimes (every 2-3 months),Very often (weekly),40+ years old,Female,Urban
5704147139559424,2017-02-18 14:15:25.31956 UTC,TV Shows,new,True,"1366,659",3551.3436041704113,True,False,True,False,False,False,False,False,True,False,No,5,2,4,5,4,Yes,Sometimes (every 2-3 months),Often (monthly),40+ years old,Male,Rural
5705241014042624,2017-02-13 02:54:34.77147 UTC,Food and Drinks,old,True,"905,624",2393.5161306764203,True,False,True,False,False,False,False,False,True,False,Yes,3,2,3,1,2,Yes,Very often (weekly),Often (monthly),18-24 years old,Male,Rural
5707702298738688,2017-02-15 23:59:47.22488 UTC,Food and Drinks,old,True,"1220,676",2158.850437018963,False,False,True,False,False,False,False,False,True,False,Yes,3,2,1,3,3,Yes,Never,Often (monthly),18-24 years old,Female,Rural
5709436928655360,2017-02-17 18:20:49.29751 UTC,TV Shows,new,True,"1280,899",2737.2725194164454,False,False,False,False,False,False,False,False,True,False,No,3,2,2,1,3,Yes,Rarely (less than twice a year),Often (monthly),40+ years old,Female,Urban
5715999101812736,2017-02-13 02:40:09.19572 UTC,Food and Drinks,new,False,"1920,935",2815.5607113329515,True,False,True,False,False,False,False,False,True,False,No,3,3,4,3,1,Yes,Rarely (less than twice a year),Very often (weekly),31-40 years old,Male,Urban
5719238044024832,2017-02-14 05:08:22.77881 UTC,Air Travel,old,False,"1366,672",4725.016817280434,True,False,False,False,False,False,False,False,False,False,Yes,2,3,4,4,4,Yes,Sometimes (every 2-3 months),Rarely (less than twice a year),25-30 years old,Male,Urban
5720147234914304,2017-02-18 00:45:40.85425 UTC,TV Shows,new,False,"1920,964",3393.387485981559,False,False,True,False,False,False,False,False,True,False,No,3,2,3,2,3,Yes,Often (monthly),Often (monthly),18-24 years old,Female,Rural
5720929187397632,2017-02-17 15:35:22.81727 UTC,Food and Drinks,new,False,"1366,630",3342.6232804398524,False,False,True,False,False,False,False,False,False,False,Yes,3,2,2,5,3,Yes,Never,Rarely (less than twice a year),31-40 years old,Female,Rural
5722646637445120,2017-02-13 02:35:45.6258 UTC,Air Travel,old,True,"1536,736",3349.2273809933404,True,False,True,False,False,False,False,False,False,False,Yes,1,4,3,1,5,Yes,Sometimes (every 2-3 months),Very often (weekly),25-30 years old,Female,Urban
5723348596162560,2017-02-15 23:07:37.93678 UTC,TV Shows,new,False,"1278,683",2928.209679019334,True,False,True,False,False,False,False,False,True,False,No,1,2,3,1,2,Yes,Often (monthly),Often (monthly),31-40 years old,Male,Urban
5727389891952640,2017-02-18 21:15:51.79632 UTC,TV Shows,new,False,"1600,770",1732.9362069213378,False,False,True,False,False,False,False,False,True,False,No,3,2,1,3,1,Yes,Very often (weekly),Very often (weekly),31-40 years old,Female,Urban
5730827476402176,2017-02-16 03:31:21.29692 UTC,Food and Drinks,new,False,"1366,676",1310.3590518481706,False,False,True,False,False,False,False,False,False,False,No,4,3,2,2,3,Yes,Never,Rarely (less than twice a year),31-40 years old,Female,Rural
5732568548769792,2017-02-13 02:42:52.81378 UTC,Food and Drinks,new,True,"919,970",670.0072089270675,False,False,True,False,False,False,False,False,False,False,Yes,1,1,1,1,1,Yes,Very often (weekly),Very often (weekly),25-30 years old,Male,Urban
5734055144325120,2017-02-17 15:56:39.3449 UTC,Food and Drinks,old,True,"1236,717",1237.8002102408327,True,False,True,False,False,False,False,False,True,False,No,3,3,2,1,3,Yes,Sometimes (every 2-3 months),Sometimes (every 2-3 months),25-30 years old,Female,Rural
5739407210446848,2017-02-13 02:49:07.24208 UTC,Air Travel,new,False,"1600,723",1048.9313830462888,True,False,True,False,False,False,False,False,True,False,No,3,3,4,3,3,Yes,Often (monthly),Very often (weekly),31-40 years old,Male,Urban
